Card Name,Post-Acquisition Winrate,Post-Acquisition Record,Total Post-Acquisition Matches,Pools Opened In
Agents of S.H.I.E.L.D.,47.42,707-784,1491,97
Fake Your Own Death,47.41,64-71,135,9
Blazing Crescendo,47.39,763-847,1610,95
"Beast, Erudite Aerialist",47.38,334-371,705,43
Repulse,47.37,9-10,19,3
"The Gitrog, Ravenous Ride",47.37,18-20,38,4
Aurelia's Vindicator,47.37,9-10,19,3
Iroh's Demonstration,47.37,63-70,133,9
"Mai, Jaded Edge",47.37,9-10,19,3
"Grishnákh, Brash Instigator",47.37,18-20,38,3
Master Piandao,47.37,18-20,38,5
Concerted Effort,47.37,9-10,19,1
Giant-Sized Flying Ant,47.35,652-725,1377,87
Bridled Bighorn,47.34,80-89,169,14
Inner Demons Gangsters,47.34,89-99,188,16
Ice Cream Kitty,47.34,80-89,169,18
Stomped by the Foot,47.34,89-99,188,22
Fire Sages,47.33,62-69,131,10
"Grim Reaper, Lethal Legionnaire",47.3,341-380,721,44
Neighborhood Guardian,47.3,35-39,74,6
Raft Security Officer,47.28,738-823,1561,92
Avengers Tower,47.27,407-454,861,51
Mind Transfer Protocol,47.27,52-58,110,14
"Teysa, Opulent Oligarch",47.25,43-48,91,6
Murder,47.24,77-86,163,12
Sterling Keykeeper,47.23,128-143,271,22
Super Suit,47.22,670-749,1419,88
"Echo, Perceptive Prodigy",47.22,340-380,720,43
Festerleech,47.22,51-57,108,9
Blood Hustler,47.22,17-19,36,4
Airship Engine Room,47.22,34-38,72,7
"Pippin, Guard of the Citadel",47.22,17-19,36,4
Pitiless Carnage,47.22,17-19,36,2
"Elektra, Daughter of the Hand",47.2,228-255,483,28
Fire Nation Warship,47.19,42-47,89,7
"Okoye, Dora Milaje Leader",47.16,291-326,617,41
Ember Island Production,47.14,33-37,70,5
"Bilbo, Retired Burglar",47.14,66-74,140,13
Horn of the Mark,47.14,33-37,70,5
"The Mighty Thor, Jane Foster",47.11,163-183,346,23
"Scarlet Spider, Kaine",47.11,57-64,121,14
Airbending Lesson,47.09,105-118,223,19
"Raphael, Tough Turtle",47.09,81-91,172,20
Vision of Love,47.06,735-827,1562,90
Fomori Vault,47.06,8-9,17,1
Treacherous Terrain (PLST) C16-47,47.06,8-9,17,1
"Fangorn, Tree Shepherd",47.06,8-9,17,1
Undercover Skrull,47.03,769-866,1635,98
Project Deathlok Soldier,47.02,607-684,1291,84
"Cloak and Dagger, Entwined",47.01,220-248,468,30
"Speed, Young Avenger",47.0,408-460,868,56
Avengers Hangar,46.99,382-431,813,52
Slip On the Ring,46.99,78-88,166,13
"Mister Hyde, Monster Within",46.98,350-395,745,46
Pillar Launch,46.97,62-70,132,13
Airbender's Reversal,46.97,31-35,66,7
Cosmic Cube,46.95,100-113,213,15
Convenient Target,46.94,23-26,49,5
"Mauhúr, Uruk-hai Captain",46.94,23-26,49,6
Pippin's Bravery,46.92,122-138,260,19
Thor Odinson,46.91,304-344,648,44
Full Steam Ahead,46.91,38-43,81,5
Voracious Fell Beast,46.91,38-43,81,8
"Oroku Saki, Shredder Rising",46.9,53-60,113,12
"White Widow, Free Agent",46.88,330-374,704,48
Bold Biochemist,46.88,692-784,1476,93
Madame Hydra,46.88,474-537,1011,61
Rambling Possum,46.88,45-51,96,9
Steer Clear,46.86,97-110,207,14
Birnin Zana Plaza,46.86,500-567,1067,68
The Ooze,46.81,22-25,47,5
Trick Shot,46.8,117-133,250,24
Eastfarthing Farmer,46.79,73-83,156,15
Stark Industries Executive,46.77,687-782,1469,90
Dog Walker,46.77,123-140,263,20
Tunnel Rats,46.76,65-74,139,15
Glider Staff,46.74,43-49,92,9
Multiversal Incursion,46.73,93-106,199,14
Doc Ock's Henchmen,46.72,114-130,244,19
Falcon's Wing Harness,46.68,253-289,542,37
Seize the Secrets,46.67,35-40,75,8
Dark Fortress,46.67,266-304,570,35
Smite the Deathless,46.67,105-120,225,18
Humiliate,46.67,21-24,45,6
Stagecoach Security,46.67,70-80,150,12
"Scarlet Spider, Ben Reilly",46.67,28-32,60,6
Waterbending Scroll,46.67,14-16,30,4
Drover Grizzly,46.67,77-88,165,17
"Kitsune, Dragon's Daughter",46.67,7-8,15,3
Hard-Won Jitte,46.67,56-64,120,12
Decimate,46.67,14-16,30,3
"War Machine, Legacy of Iron",46.65,397-454,851,51
Corrupted Conviction,46.62,131-150,281,21
"Doc Ock, Sinister Scientist",46.61,117-134,251,17
Sterling Hound,46.61,103-118,221,15
Canyon Crab,46.58,34-39,73,6
Ant-Man's Army,46.56,772-886,1658,105
"Human Torch, Johnny Storm",46.56,392-450,842,51
Web Up,46.52,761-875,1636,103
Compassionate Healer,46.52,107-123,230,19
Earth Kingdom Protectors,46.51,60-69,129,10
"Shagrat, Loot Bearer",46.51,20-23,43,3
Powerful Broker,46.5,717-825,1542,96
"Swarm, Being of Bees",46.48,132-152,284,27
Taxi Driver,46.48,119-137,256,18
"Klaw, Sonic Subjugator",46.47,309-356,665,43
"Denethor, Ruling Steward",46.46,46-53,99,10
Bristlepack Sentry,46.45,85-98,183,15
Visions of Villainy,46.43,644-743,1387,88
Prickly Pair,46.43,91-105,196,15
Vault Plunderer,46.43,39-45,84,10
Red Hulk,46.42,337-389,726,49
Kree Commandos,46.42,706-815,1521,91
Agents of HYDRA,46.4,799-923,1722,106
Surveillance Room,46.4,747-863,1610,98
Pym Technologies,46.4,483-558,1041,65
Action News Crew,46.4,58-67,125,14
Pain 101,46.39,90-104,194,19
The Serpent Society,46.39,167-193,360,24
Path to Redemption,46.38,109-126,235,20
"Scorpion, Seething Striker",46.38,64-74,138,11
"Vial Smasher, Gleeful Grenadier",46.38,32-37,69,6
Terror of the Peaks,46.38,32-37,69,5
HYDRA Assault Robot,46.37,716-828,1544,96
S.H.I.E.L.D. Spy Kit,46.36,777-899,1676,107
Arwen's Gift,46.34,57-66,123,11
Dimension X,46.33,82-95,177,20
Spectacular Tactics,46.3,144-167,311,24
"Venom, Evil Unleashed",46.29,131-152,283,26
Wandering Musicians,46.29,81-94,175,19
"Satoru, the Infiltrator",46.27,31-36,67,5
Reasonable Doubt,46.26,68-79,147,13
Lothlórien Lookout,46.25,37-43,80,8
Crowd of True Believers,46.22,715-832,1547,100
Shower of Arrows,46.21,67-78,145,12
Jailbreak Scheme,46.2,73-85,158,13
Rapid Rescue,46.17,729-850,1579,98
Water Tribe Rallier,46.15,18-21,39,5
Essence of Antiquity,46.15,42-49,91,7
East Wind Avatar,46.15,78-91,169,20
Gift of Strands,46.15,18-21,39,3
Colossal Rattlewurm,46.15,18-21,39,2
"Gandalf, Friend of the Shire",46.15,18-21,39,4
Kree Sentinel,46.13,751-877,1628,95
"U.S.Agent, John Walker",46.13,352-411,763,54
Utrom Scientists,46.12,113-132,245,21
Futurist Forge,46.1,674-788,1462,87
Red Room Recruit,46.09,701-820,1521,95
Sinister Hideout,46.09,106-124,230,18
Escape Tunnel,46.06,158-185,343,32
Venom's Hunger,46.04,128-150,278,21
Lush Portico,46.03,29-34,63,4
Vengeful Tracker,46.03,29-34,63,4
Sanguine Savior,46.02,104-122,226,19
Secret Invasion,46.02,104-122,226,18
Outlaw Medic,46.02,81-95,176,15
Robot Domination,46.01,415-487,902,59
Freestrider Commando,46.01,98-115,213,21
"Wraith, Vicious Vigilante",46.01,75-88,163,12
Rewrite History,46.01,317-372,689,44
Knight of Wundagore,45.99,551-647,1198,80
Repulsor Blast,45.99,735-863,1598,98
Truck Toss,45.99,298-350,648,43
"Momo, Friendly Flier",45.98,40-47,87,6
"Momo, Playful Pet",45.98,40-47,87,10
Mountain,45.96,979-1151,2130,135
Swamp,45.96,968-1138,2106,140
Iron Man Armor,45.96,74-87,161,10
Ultimate Green Goblin,45.95,17-20,37,3
Vengeful Villagers,45.95,34-40,74,6
Death to Our Enemies,45.93,367-432,799,52
The Lion-Turtle,45.92,45-53,98,9
Buried in the Garden,45.92,45-53,98,6
Bombadil's Song,45.91,73-86,159,15
Retro-Mutation,45.9,56-66,122,13
Deadly Precision,45.88,78-92,170,16
"Hulkling, Burgeoning Bruiser",45.87,350-413,763,48
Wakandan Drone Flock,45.86,682-805,1487,96
Olog-hai Crusher,45.86,61-72,133,10
"White Tiger, Ava Ayala",45.85,370-437,807,50
Hydraulic Helper,45.84,754-891,1645,101
"Falcon, Winged Wonder",45.84,336-397,733,52
Ninja of the Hand,45.83,693-819,1512,94
Loki Laufeyson,45.83,368-435,803,50
"Ezrim, Agency Chief",45.83,11-13,24,3
Super-Skrull,45.83,198-234,432,28
"Michelangelo, Game Master",45.83,88-104,192,20
Bitter Downfall,45.83,22-26,48,4
"Faramir, Prince of Ithilien",45.83,11-13,24,2
Gleaming Geardrake,45.83,22-26,48,4
Analyze the Pollen,45.83,11-13,24,2
Callous Inspector,45.81,71-84,155,14
"Gothmog, Morgul Lieutenant",45.8,60-71,131,13
Vengeful Creeper,45.79,98-116,214,16
Shock,45.79,174-206,380,38
Boomerang Basics,45.78,38-45,83,8
Super Intelligence,45.78,293-347,640,41
Hidden Lair,45.78,233-276,509,32
Intimidation Campaign,45.78,38-45,83,8
Basilica Stalker,45.77,119-141,260,24
"Jessica Jones, Private Eye",45.77,368-436,804,51
HULK SMASH!,45.76,659-781,1440,92
Guy in the Chair,45.76,81-96,177,20
Nimble Brigand,45.76,27-32,59,4
Eagles of the North,45.75,113-134,247,20
Wakandan Royal Guard,45.72,795-944,1739,102
Blacksnag Buzzard,45.72,123-146,269,25
Delighted Halfling,45.71,32-38,70,5
Grow Extra Arms,45.7,138-164,302,25
Beastbond Outcaster,45.68,37-44,81,6
"Hawkeye, Master Marksman",45.66,179-213,392,23
Suburban Sanctuary,45.66,100-119,219,19
Call Damage Control,45.65,672-800,1472,93
Relive the Past,45.65,21-25,46,4
Hawkeye's Bow,45.65,704-838,1542,93
Bruce Banner // The Incredible Hulk,45.65,84-100,184,11
"Long Feng, Grand Secretariat",45.65,63-75,138,12
"Zhao, the Moon Slayer",45.65,21-25,46,5
Chance-Met Elves,45.64,68-81,149,13
Trickster's Stratagem,45.63,725-864,1589,99
Castle Doom,45.63,162-193,355,22
"Loki, God of Mischief",45.62,146-174,320,27
Borough Backup,45.61,707-843,1550,98
"Rick Jones, Destined Sidekick",45.59,388-463,851,53
Villainous Hideout,45.55,271-324,595,37
Subterranean Cavern,45.53,402-481,883,58
Punishing Punch,45.49,318-381,699,44
Risky Research,45.49,131-157,288,26
Guerrilla Gorilla,45.48,719-862,1581,100
"Hercules, Prince of Power",45.47,437-524,961,61
Reconnaissance Mission,45.45,15-18,33,2
Turtle-Duck,45.45,90-108,198,17
Mouser Attack!,45.45,105-126,231,25
Inspiring Vantage,45.45,30-36,66,5
Earth Kingdom Soldier,45.45,50-60,110,9
"Karai, Future of the Foot",45.45,20-24,44,4
Horn of Greed,45.45,15-18,33,2
Cryptex,45.45,15-18,33,2
Meticulous Archive,45.45,15-18,33,2
Frozen in Ice,45.43,731-878,1609,102
The Wondrous Wasp,45.43,194-233,427,24
Mirkwood Bats,45.42,119-143,262,21
Lightning Strike,45.41,781-939,1720,113
HYDRA Infiltration,45.38,604-727,1331,85
Hardbristle Bandit,45.38,59-71,130,11
Riftburst Hellion,45.38,59-71,130,13
Manhole Missile,45.38,59-71,130,15
"Agent 13, Sharon Carter",45.36,269-324,593,39
Ran and Shaw,45.33,34-41,75,7
Team Tactics,45.32,358-432,790,51
Ride Down,45.31,29-35,64,6
Agent Phil Coulson,45.31,111-134,245,15
"Hellcat, Undying Vigilante",45.29,404-488,892,57
Sold Out,45.28,96-116,212,20
Ka-Zar of the Savage Land,45.27,330-399,729,48
"Iron Lad, Diverging Destiny",45.27,292-353,645,41
The Ruinous Wrecking Crew,45.26,186-225,411,28
"Suki, Kyoshi Warrior",45.26,62-75,137,11
"Wiccan, Rising Magician",45.24,409-495,904,56
Escape from Orthanc,45.24,76-92,168,14
Deserter's Disciple,45.24,95-115,210,18
Snakeskin Veil,45.24,38-46,84,9
TCRI Building,45.24,57-69,126,15
"Katara, Bending Prodigy",45.24,38-46,84,8
Fleeting Reflection,45.24,19-23,42,4
We Say Thee Nay!,45.2,655-794,1449,91
"Avatar Aang // Aang, Master of Elements",45.16,14-17,31,3
Persuasive Interrogators,45.16,14-17,31,3
K'un-Lun Warrior,45.16,769-934,1703,108
Origin of the Avengers,45.16,98-119,217,18
Ent-Draught Basin,45.16,14-17,31,4
Fugitive Droid,45.16,14-17,31,3
"Obeka, Splitter of Seconds",45.16,14-17,31,3
Saber-Tooth Moose-Lion,45.12,74-90,164,13
Rohirrim Lancer,45.12,74-90,164,11
Rebellious Captives,45.11,83-101,184,16
Thunder Salvo,45.11,83-101,184,14
Claim the Kingdom,45.1,336-409,745,48
Kang the Conqueror,45.1,69-84,153,10
Earth Kingdom Jailer,45.1,23-28,51,4
Leering Onlooker,45.1,23-28,51,4
Spider Manifestation,45.09,147-179,326,25
Kingpin's Enforcers,45.07,768-936,1704,104
Super-Adaptoid,45.05,182-222,404,24
Case of the Burning Masks,45.05,41-50,91,7
Island,45.03,937-1144,2081,133
"Whiplash, Vengeful Engineer",45.03,317-387,704,46
"Spider-Rex, Daring Dino",45.0,90-110,200,17
Grindstone,45.0,9-11,20,1
Combine Chrysalis (PLST) MH2-191,45.0,9-11,20,1
"Etrata, Deadly Fugitive",45.0,9-11,20,1
Treason of Isengard,44.98,94-115,209,20
Unliving Legionnaire,44.97,680-832,1512,99
Corrupt Court Official,44.97,85-104,189,15
Murdock's Crusade,44.95,667-817,1484,94
"Crossbones, Malicious Mercenary",44.95,307-376,683,48
Person of Interest,44.95,89-109,198,16
Serpent Specialist,44.94,693-849,1542,101
The Masters of Evil,44.93,412-505,917,59
"Casey Jones, Jury-Rig Justiciar",44.93,31-38,69,7
Kraven's Last Hunt,44.93,31-38,69,6
Symbiote Spider-Man,44.93,31-38,69,6
Crimson Operative,44.9,691-848,1539,97
"Glóin, Dwarf Emissary",44.9,22-27,49,3
Earth King's Lieutenant,44.9,22-27,49,5
Mystical Tether,44.87,70-86,156,14
"Wylie Duke, Atiin Hero",44.87,35-43,78,7
"Captain Mar-Vell, Space-Born",44.85,248-305,553,40
The Kingpin of Crime,44.85,222-273,495,31
Mutant Town,44.85,87-107,194,20
Decoy Ploy,44.83,551-678,1229,83
"Legolas, Counter of Kills",44.83,52-64,116,10
Brilliance Unleashed,44.83,26-32,58,5
Fall of Cair Andros,44.83,13-16,29,2
Giant Growth,44.8,706-870,1576,95
"Daredevil, Man Without Fear",44.76,175-216,391,24
Stolen Stark Tech,44.75,742-916,1658,105
"Quake, Agent of S.H.I.E.L.D.",44.75,273-337,610,39
A.I.M. Scientists,44.73,722-892,1614,102
The Mind Stone,44.73,106-131,237,15
"Zog, Triceraton Castaway",44.72,72-89,161,16
Brave Brawler,44.7,691-855,1546,96
Lonely Arroyo,44.68,21-26,47,6
"Tolsimir, Midnight's Light",44.68,21-26,47,4
Origin of Metalbending,44.65,96-119,215,17
"Mockingbird, Ace Agent",44.64,354-439,793,50
Take Up the Shield,44.64,675-837,1512,97
Mine Raider,44.64,104-129,233,21
"Spider-Byte, Web Warden",44.64,50-62,112,10
Extract a Confession,44.64,25-31,56,6
Dreadful as the Storm,44.62,87-108,195,16
Slickshot Lockpicker,44.62,29-36,65,7
"Stature, Size Shifter",44.61,352-437,789,50
Morbius the Living Vampire,44.59,66-82,148,13
Damage Control Crew,44.59,70-87,157,13
Passenger Ferry,44.57,119-148,267,21
Warbeast of Gorgoroth,44.57,78-97,175,13
A.I.M. Synthoids,44.56,729-907,1636,100
Gearbane Orangutan,44.55,49-61,110,11
"She-Hulk, Jade Defender",44.54,302-376,678,42
S.H.I.E.L.D. Helicarrier,44.49,331-413,744,49
They Went This Way,44.44,96-120,216,15
Sandbenders' Storm,44.44,68-85,153,14
Arwen Undómiel,44.44,20-25,45,4
Demand Answers,44.44,32-40,72,7
Candlestick,44.44,20-25,45,5
"Niv-Mizzet, Guildpact",44.44,16-20,36,3
Knife,44.44,16-20,36,4
"Mister Fantastic, Reed Richards",44.42,386-483,869,56
Macabre Reconstruction,44.4,115-144,259,19
Kyoshi Battle Fan,44.38,79-99,178,16
Panther Pounce,44.37,591-741,1332,87
Eerie Gravestone,44.35,106-133,239,22
Luxurious Locomotive,44.34,47-59,106,10
Back for More,44.32,39-49,88,8
Iron-Fist Pulverizer,44.31,113-142,255,25
Rakish Scoundrel,44.3,66-83,149,12
Stegron the Dinosaur Man,44.3,105-132,237,22
"Winter Soldier, Icy Assassin",44.29,190-239,429,28
Abrupt Decay,44.29,31-39,70,5
Super-Soldier Serum,44.28,147-185,332,21
Tunnel Tipster,44.25,77-97,174,14
Defenestrated Phantom,44.24,73-92,165,12
"Spider-Man, Brooklyn Visionary",44.23,115-145,260,19
"Spider-Slayer, Hatred Honed",44.23,46-58,104,10
Fire of Orthanc,44.23,46-58,104,10
Harrier Strix,44.22,65-82,147,16
Kapow!,44.21,84-106,190,18
Daily Bugle Building,44.19,57-72,129,13
Gwen Stacy // Ghost-Spider,44.19,19-24,43,4
Stingerback Terror,44.19,19-24,43,5
"Ghost, Spectral Saboteur",44.18,395-499,894,57
"Reptil, Dinomorpher",44.16,295-373,668,47
"Baron Strucker, HYDRA Overlord",44.16,310-392,702,45
"Quicksilver, Brash Blur",44.13,169-214,383,28
Gather the White Lotus,44.12,30-38,68,5
Chalk Outline,44.12,15-19,34,2
Vibranium Energy Daggers,44.11,651-825,1476,92
"Black Panther, Vanguard",44.11,341-432,773,52
"Swordsman, Sharp Scoundrel",44.1,340-431,771,50
Fog on the Barrow-Downs,44.1,101-128,229,18
Bite Down on Crime,44.09,97-123,220,18
"Spider-Girl, Legacy Hero",44.09,41-52,93,8
Go Nuts!,44.07,621-788,1409,89
Electro's Bolt,44.07,104-132,236,25
"Ultron, Artificial Malevolence",44.06,89-113,202,12
"Ares, God of War",44.05,148-188,336,23
Fierce Retribution,44.05,37-47,84,7
Web-Warriors,44.05,74-94,168,14
Aerial Doombot,44.04,635-807,1442,94
HYDRA Troopers,44.04,646-821,1467,99
Ultron Drone,44.01,691-879,1570,98
Knights of Dol Amroth,44.0,77-98,175,13
"Madame Null, Power Broker",44.0,11-14,25,4
"Captain Marvel, Earth's Protector",44.0,77-98,175,11
"Beetle, Legacy Criminal",44.0,99-126,225,22
Take for a Ride,44.0,22-28,50,4
Inherited Envelope,43.97,62-79,141,14
Forest,43.96,895-1141,2036,140
Tony Stark // The Invincible Iron Man,43.96,40-51,91,6
Depower,43.95,737-940,1677,108
Ostrich-Horse,43.94,58-74,132,14
Saruman's Trickery,43.94,58-74,132,10
"Raphael, Most Attitude",43.94,29-37,66,8
Strength of Will,43.94,29-37,66,8
Thornado,43.93,47-60,107,8
Jagged Barrens,43.93,47-60,107,8
Haazda Vigilante,43.92,65-83,148,13
"Black Widow, Double Agent",43.91,353-451,804,54
Redrock Sentinel,43.9,18-23,41,3
Desperate Bloodseeker,43.9,54-69,123,12
"Molten Man, Inferno Incarnate",43.88,61-78,139,14
Trained Arynx,43.87,68-87,155,15
Knowledge Seeker,43.86,25-32,57,7
"The Thing, Ben Grimm",43.83,380-487,867,55
Epic Fight,43.82,110-141,251,20
Raucous Audience,43.81,92-118,210,18
Web-Shooters,43.81,46-59,105,10
Kid Loki,43.8,300-385,685,46
Foot Ninjas,43.79,74-95,169,16
"Black Cat, Cunning Thief",43.75,14-18,32,3
"Sokka, Tenacious Tactician",43.75,21-27,48,6
Battle-Scarred Goblin,43.75,49-63,112,14
Dawn of a New Age (LTR) 731z,43.75,14-18,32,2
Obsessive Pursuit,43.75,7-9,16,2
Slimy Dualleech,43.75,14-18,32,2
Collector's Cage,43.75,7-9,16,1
Dark Deed,43.74,304-391,695,48
Super Villain Lockup,43.74,276-355,631,45
Spider-Bot,43.73,122-157,279,24
Isolation at Orthanc,43.72,94-121,215,18
Rock Soldiers,43.72,87-112,199,21
News Helicopter,43.7,52-67,119,11
"Now for Wrath, Now for Ruin!",43.7,52-67,119,11
Behind the Mask,43.67,69-89,158,15
Map the Frontier,43.66,31-40,71,8
Peregrin Took,43.66,62-80,142,11
Angry Rabble,43.65,79-102,181,18
Easterling Vanguard,43.62,82-106,188,16
Razor Rings,43.61,99-128,227,17
Training Regimen,43.61,379-490,869,57
"Shuri, Wakandan Inventor",43.59,333-431,764,50
Dai Li Indoctrination,43.59,68-88,156,14
"Shocker, Unshakable",43.59,51-66,117,8
"Hakoda, Selfless Commander",43.59,17-22,39,4
"Iron Fist, Living Weapon",43.58,302-391,693,49
Plains,43.57,972-1259,2231,139
Unlucky Cabbage Merchant,43.56,44-57,101,7
Forecasting Fortune Teller,43.55,81-105,186,18
"Spider-Man, Web-Slinger",43.52,84-109,193,19
Canyon Crawler,43.51,67-87,154,15
Selfless Police Captain,43.49,117-152,269,24
Genghis Frog,43.48,40-52,92,13
Mister Negative,43.48,20-26,46,3
Sandbender Scavengers,43.48,10-13,23,2
Agent of Atlas,43.47,602-783,1385,86
Alien Invasion,43.47,143-186,329,23
Consuming Ashes,43.46,113-147,260,22
"Ronin, Shadow Stalker",43.46,266-346,612,41
Mobile Homestead,43.45,63-82,145,13
The Scarlet Witch,43.45,136-177,313,19
Hot Dog Cart,43.43,119-155,274,25
Riku of Many Paths,43.4,23-30,53,4
Rosie Cotton of South Lane,43.36,49-64,113,8
Hire a Crew,43.34,592-774,1366,92
Requisition Raid,43.33,26-34,60,5
Fury of the Horde,43.33,13-17,30,2
Atlantean Cavalry,43.32,597-781,1378,93
Ringsight,43.31,55-72,127,9
Took Reaper,43.24,96-126,222,19
Diligent Zookeeper,43.24,32-42,74,7
Mouser Foundry,43.24,96-126,222,23
Scout the City,43.24,48-63,111,12
A.I.M. Labs,43.21,388-510,898,62
S.H.I.E.L.D. Deployment Drone,43.18,636-837,1473,97
Wizard's Rockets,43.17,79-104,183,19
"Ironheart, Clever Champion",43.15,104-137,241,18
Volcanic Villain,43.12,539-711,1250,80
Foot Elite,43.12,69-91,160,16
"Speedball, New Warrior",43.1,328-433,761,50
Vitu-Ghazi Inspector,43.09,106-140,246,20
Rise of the Varmints,43.08,28-37,65,4
"Ms. Marvel, Kamala Khan",43.06,121-160,281,18
Spider-Mobile,43.04,34-45,79,8
Professional Wrestler,43.02,77-102,179,16
Return to the Sewers,43.01,40-53,93,14
Claim the Precious,42.99,46-61,107,10
"Invisible Woman, Sue Storm",42.97,318-422,740,48
Toxin Analysis,42.93,79-105,184,14
"Black Widow, Super Spy",42.93,85-113,198,13
Mechanical Mobster,42.92,103-137,240,20
Thunderbolts Conspiracy,42.9,145-193,338,23
Evil's Thrall,42.9,293-390,683,43
Widow's Bite,42.86,627-836,1463,94
Captain America's Shield,42.86,180-240,420,28
Giant Koi,42.86,90-120,210,18
Pym Particles,42.86,297-396,693,43
Fin Fang Foom,42.86,159-212,371,25
Esquire of the King,42.86,57-76,133,11
"Spider-Ham, Peter Porker",42.86,39-52,91,8
Nimrodel Watcher,42.86,111-148,259,21
Nimble Hobbit,42.86,90-120,210,18
Quarrel's End,42.86,72-96,168,13
One Last Job,42.86,18-24,42,4
Samwise the Stouthearted,42.86,15-20,35,5
Northampton Farm,42.86,18-24,42,4
Spider-Punk,42.86,21-28,49,5
Pictures of Spider-Man,42.86,45-60,105,10
Rocket-Powered Goblin Glider,42.86,18-24,42,4
Turtles in Time,42.86,9-12,21,2
Ruinous Waterbending,42.76,62-83,145,11
Ferocification,42.74,50-67,117,8
Crowd-Control Warden,42.74,50-67,117,10
Superior Foes of Spider-Man,42.73,47-63,110,11
Common Crook,42.72,91-122,213,21
Gallant Citizen,42.71,123-165,288,26
Orcish Medicine,42.71,82-110,192,16
Machinesmith Automaton,42.7,655-879,1534,95
"Rhino, Barreling Brute",42.7,38-51,89,8
Swampsnare Trap,42.68,67-90,157,17
Barrels of Blasting Jelly,42.67,32-43,75,7
Boiling Rock Prison,42.62,26-35,61,7
Meditation Pools,42.62,52-70,122,14
Origin of Spider-Man,42.62,26-35,61,5
Case of the Ransacked Lab,42.59,23-31,54,4
"Erkenbrand, Lord of Westfold",42.59,23-31,54,5
Spider-UK,42.57,43-58,101,10
"Chameleon, Master of Disguise",42.55,60-81,141,12
Kylox's Voltstrider,42.55,20-27,47,3
Dúnedain Rangers,42.55,20-27,47,5
Irascible Wolverine,42.55,60-81,141,13
I Am Iron Man,42.54,667-901,1568,101
Fire Nation Attacks,42.54,57-77,134,11
Shady Informant,42.54,77-104,181,15
Quintessential Katana,42.53,37-50,87,8
Agent Maria Hill,42.52,287-388,675,43
Buzz Bots,42.5,51-69,120,10
Ba Sing Se,42.5,17-23,40,3
Bagel and Schmear,42.44,87-118,205,19
Shredder's Technique,42.42,42-57,99,10
"Luke Cage, Power Man",42.41,285-387,672,47
Snarling Gorehound,42.4,53-72,125,11
Multiversal Passage,42.39,39-53,92,8
Amazing Acrobatics,42.38,89-121,210,21
Willow-Wind,42.36,86-117,203,19
Many Partings,42.34,94-128,222,20
Otter-Penguin,42.33,80-109,189,20
Supportive Parents,42.31,22-30,52,6
Raging Goblinoids,42.31,33-45,78,7
Villainous Wrath,42.31,11-15,26,2
Shredder's Revenge,42.29,85-116,201,18
Wall Crawl,42.28,63-86,149,13
Peerless Ropemaster,42.27,82-112,194,17
Steel Wrecking Ball,42.25,90-123,213,21
Sudden Strike,42.24,49-67,116,13
Surrounded by Orcs,42.23,87-119,206,19
Gandalf's Sanction,42.22,38-52,90,7
Neutralize the Guards,42.2,46-63,109,8
Soldier of the Grey Host,42.2,73-100,173,13
"Zuko, Exiled Prince",42.17,35-48,83,6
Arc Reactor,42.15,161-221,382,24
Political Triumph,42.11,288-396,684,45
"Iron Man, Master of Machines",42.11,280-385,665,47
Get a Leg Up,42.11,16-22,38,4
Assimilation Aegis,42.11,8-11,19,1
Mary Jane Watson,42.11,16-22,38,4
Counterspell,42.11,8-11,19,1
Rope,42.11,8-11,19,1
"The Spot, Living Portal",42.11,8-11,19,1
Desertion,42.11,8-11,19,1
Baxter Building,42.09,314-432,746,52
Hex Magic,41.99,283-391,674,47
"Misty Knight, Hero for Hire",41.99,249-344,593,41
Rough Rhino Cavalry,41.96,60-83,143,13
Los Diablos Missile Base,41.95,414-573,987,65
Heroes' Hangout,41.88,49-68,117,13
Cast into the Fire,41.83,64-89,153,17
Squirrelanoids,41.79,28-39,67,8
Improvised Club,41.79,56-78,134,11
Lurking Lizards,41.76,109-152,261,21
Shared Roots,41.76,38-53,91,7
Meriadoc Brandybuck,41.73,53-74,127,11
Armor Wars,41.72,126-176,302,20
"Teo, Spirited Glider",41.67,30-42,72,6
Secret Identity,41.67,40-56,96,8
"Professor Zei, Anthropologist",41.67,40-56,96,9
Leonardo's Technique,41.67,10-14,24,2
Abandon Attachments,41.63,97-136,233,20
Whoosh!,41.55,86-121,207,21
This Town Ain't Big Enough,41.54,27-38,65,6
Shire Shirriff,41.54,27-38,65,5
Agency Coroner,41.49,39-55,94,11
"Captain America, Wings of Freedom",41.49,117-165,282,20
Mechanized Ninja Cavalry,41.48,95-134,229,20
"Arnim Zola, Bio-Fanatic",41.47,311-439,750,56
"Lady Octopus, Inspired Inventor",41.46,17-24,41,4
Another Round,41.46,17-24,41,3
"Doc Samson, Super Psychiatrist",41.45,274-387,661,46
Public Thoroughfare,41.43,29-41,70,8
Uruk-hai Berserker,41.42,70-99,169,12
Ioreth of the Healing House,41.41,53-75,128,9
Bespoke Bō,41.38,24-34,58,7
Breaking of the Fellowship,41.38,96-136,232,20
"Mona Lisa, Science Geek",41.38,36-51,87,7
Gold Pan,41.36,67-95,162,14
Gleaming Bastion,41.36,194-275,469,31
Meddling Youths,41.33,31-44,75,8
Daily Bugle Reporters,41.27,104-148,252,23
