Card Name,Weighted Winrate %,Weighted Record,Total Weighted Matches,Pools Opened In
Infirmary Healer // Stream Of Life,49.78,693-699,1392,80
Prismari Charm,49.77,744-751,1495,78
Stadium Tidalmage,49.76,2893-2921,5814,186
Potioner'S Trove,49.73,1770-1789,3559,155
Inkling Mascot,49.73,2933-2965,5898,192
Noxious Newt,49.72,2276-2302,4578,173
Wilt In The Heat,49.7,3088-3125,6213,193
Eternal Student,49.7,841-851,1692,87
Inkshape Demonstrator,49.7,918-929,1847,98
Pest Mascot,49.69,3076-3115,6191,195
Fix What'S Broken,49.66,369-374,743,46
Cheerful Osteomancer // Raise Dead,49.64,2191-2223,4414,167
Interjection,49.63,2523-2561,5084,185
Dina'S Guidance,49.63,404-410,814,51
"Orysa, Tide Choreographer",49.62,714-725,1439,73
Tragedy Feaster,49.6,372-378,750,48
Imperious Inkmage,49.57,2997-3049,6046,193
"Lorehold, The Historian",49.56,169-172,341,23
Pestbrood Sloth,49.54,698-711,1409,78
Oracle'S Restoration,49.53,2199-2241,4440,169
Pull From The Grave,49.52,2068-2108,4176,162
Startled Relic Sloth,49.49,683-697,1380,84
Stone Docent,49.48,2485-2537,5022,177
Choreographed Sparks,49.48,476-486,962,51
Cost Of Brilliance,49.47,2208-2255,4463,165
"Emil, Vastlands Roamer",49.44,748-765,1513,85
Eager Glyphmage,49.43,2543-2602,5145,169
Terramorphic Expanse,49.42,1329-1360,2689,141
Graduation Day,49.41,751-769,1520,76
Applied Geometry,49.4,332-340,672,43
Strixhaven Skycoach,49.4,695-712,1407,84
Spirit Mascot,49.39,2684-2750,5434,184
"Mica, Reader Of Ruins",49.39,764-783,1547,87
Shattered Sanctum,49.38,360-369,729,49
Steal The Show,49.38,360-369,729,48
Brush Off,49.36,842-864,1706,85
Shopkeeper'S Bane,49.35,2299-2360,4659,170
Lumaret'S Favor,49.35,908-932,1840,106
"Page, Loose Leaf",49.34,1528-1569,3097,149
Magmablood Archaic,49.34,409-420,829,48
Run Behind,49.33,2233-2294,4527,163
Additive Evolution,49.3,636-654,1290,77
Garrison Excavator,49.29,905-931,1836,105
Sundering Archaic,49.29,725-746,1471,94
"Abigale, Poet Laureate // Heroic Stanza",49.28,652-671,1323,74
Antiquities On The Loose,49.27,339-349,688,46
Borrowed Knowledge,49.22,661-682,1343,79
Rapier Wit,49.19,2094-2163,4257,174
Masterful Flourish,49.19,2395-2474,4869,172
End Of The Hunt,49.19,671-693,1364,84
The Dawning Archaic,49.18,210-217,427,28
Decorum Dissertation,49.16,234-242,476,27
Tackle Artist,49.13,2263-2343,4606,175
Sneering Shadewriter,49.12,2398-2484,4882,171
Geometer'S Arthropod,49.09,244-253,497,35
Dig Site Inventory,49.08,2188-2270,4458,164
"Prismari, The Inspiration",49.04,231-240,471,31
Tester Of The Tangential,49.0,635-661,1296,71
Snooping Page,48.99,704-733,1437,78
Muse Seeker,48.98,768-800,1568,87
Ancestral Anger,48.96,2524-2631,5155,180
Adventurous Eater // Have A Bite,48.95,2241-2337,4578,163
Glorious Decay,48.95,2081-2170,4251,172
Paradox Gardens,48.94,2174-2268,4442,167
Forum Necroscribe,48.91,805-841,1646,84
Rearing Embermare,48.91,2114-2208,4322,171
Ambitious Augmenter,48.91,268-280,548,32
"Tam, Observant Sequencer // Deep Sight",48.85,784-821,1605,93
Embrace The Paradox,48.84,2949-3089,6038,193
Fractal Anomaly,48.84,818-857,1675,93
Elemental Mascot,48.82,2492-2612,5104,180
Snarl Song,48.82,808-847,1655,92
Heated Argument,48.82,2155-2259,4414,165
Essenceknit Scholar,48.82,683-716,1399,79
Matterbending Mage,48.81,556-583,1139,70
Chase Inspiration,48.74,2233-2348,4581,175
Erode,48.72,343-361,704,48
Dreamroot Cascade,48.71,321-338,659,39
Killian'S Confidence,48.67,750-791,1541,88
Mage Tower Referee,48.55,1438-1524,2962,144
Tablet Of Discovery,48.55,570-604,1174,70
Stress Dream,48.54,765-811,1576,94
"Kirol, History Buff // Pack A Punch",48.54,666-706,1372,73
Spellbook Seeker // Careful Study,48.5,2263-2403,4666,181
Rehearsed Debater,48.45,2127-2263,4390,168
Fractalize,48.43,665-708,1373,81
Zaffai And The Tempests,48.43,417-444,861,52
Practiced Scrollsmith,48.41,761-811,1572,90
Dissection Practice,48.4,800-853,1653,96
Spectacle Summit,48.4,1774-1891,3665,148
Harmonized Trio // Brainstorm,48.39,330-352,682,48
