Card Name,Weighted Winrate %,Weighted Record,Total Weighted Matches,Pools Opened In
Crowd of True Believers,49.95,1065-1067,2132,66
Wakandan Drone Flock,49.95,911-913,1824,59
Avengers Hangar,49.94,414-415,829,36
Red Room Recruit,49.84,915-921,1836,68
A.I.M. Scientists,49.82,992-999,1991,66
"Elektra, Daughter of the Hand",49.8,243-245,488,18
Cosmic Cube,49.76,104-105,209,11
Bold Biochemist,49.75,878-887,1765,61
"U.S.Agent, John Walker",49.75,401-405,806,30
Agents of HYDRA,49.75,1005-1015,2020,76
Kree Sentinel,49.74,969-979,1948,76
Bruce Banner // The Incredible Hulk,49.74,94-95,189,10
"Ghost, Spectral Saboteur",49.72,452-457,909,39
Super Intelligence,49.69,318-322,640,22
Call Damage Control,49.68,926-938,1864,65
"Ironheart, Clever Champion",49.57,116-118,234,7
Rewrite History,49.55,334-340,674,22
Swamp,49.54,1513-1541,3054,68
The Mind Stone,49.53,106-108,214,10
"Baron Strucker, HYDRA Overlord",49.52,360-367,727,27
"Iron Fist, Living Weapon",49.51,403-411,814,27
S.H.I.E.L.D. Spy Kit,49.5,938-957,1895,71
"Winter Soldier, Icy Assassin",49.49,196-200,396,17
"Klaw, Sonic Subjugator",49.47,328-335,663,32
Murdock's Crusade,49.44,882-902,1784,57
Powerful Broker,49.4,866-887,1753,65
Giant Growth,49.37,985-1010,1995,75
"The Thing, Ben Grimm",49.34,448-460,908,35
"Reptil, Dinomorpher",49.33,331-340,671,27
Baron Helmut Zemo,49.33,110-113,223,5
Hell's Kitchen,49.32,326-335,661,27
Serpent Specialist,49.29,862-887,1749,65
"Whiplash, Vengeful Engineer",49.22,381-393,774,28
"Shang-Chi, Master of Kung Fu",49.21,93-96,189,8
"Quake, Agent of S.H.I.E.L.D.",49.19,303-313,616,28
Repulsor Blast,49.17,1009-1043,2052,70
Borough Backup,49.16,818-846,1664,64
A.I.M. Synthoids,49.14,1001-1036,2037,69
"Stature, Size Shifter",49.13,369-382,751,31
Kid Loki,49.12,335-347,682,29
Hire a Crew,49.11,714-740,1454,56
"Captain Marvel, Earth's Protector",49.08,80-83,163,9
"Hulkling, Burgeoning Bruiser",49.07,371-385,756,32
Kingpin's Enforcers,49.06,1066-1107,2173,77
Ninja of the Hand,49.05,848-881,1729,68
Island,49.04,1486-1544,3030,69
"Black Panther, Vanguard",49.0,394-410,804,31
Political Triumph,49.0,342-356,698,32
"Rick Jones, Destined Sidekick",48.96,425-443,868,32
"Luke Cage, Power Man",48.94,299-312,611,31
"Ronin, Shadow Stalker",48.91,291-304,595,28
Kree Commandos,48.89,904-945,1849,66
"Human Torch, Johnny Storm",48.89,417-436,853,39
"Black Widow, Double Agent",48.85,381-399,780,31
Worlds Within Worlds,48.82,103-108,211,11
Futurist Forge,48.82,829-869,1698,68
A.I.M. Labs,48.81,452-474,926,37
Wakandan Royal Guard,48.8,1013-1063,2076,78
Ka-Zar of the Savage Land,48.8,366-384,750,28
Guerrilla Gorilla,48.77,933-980,1913,68
Gleaming Bastion,48.76,216-227,443,23
Machinesmith Automaton,48.73,920-968,1888,73
Agent Maria Hill,48.72,363-382,745,31
Panther Pounce,48.68,773-815,1588,58
Loki Laufeyson,48.67,401-423,824,33
"Mockingbird, Ace Agent",48.66,380-401,781,38
Take Up the Shield,48.66,907-957,1864,64
Brave Brawler,48.63,854-902,1756,70
The Wondrous Wasp,48.62,194-205,399,19
Forest,48.6,1334-1411,2745,57
Villainous Hideout,48.58,291-308,599,24
Pym Technologies,48.57,508-538,1046,43
HYDRA Troopers,48.57,952-1008,1960,60
K'un-Lun Warrior,48.54,998-1058,2056,69
Truck Toss,48.54,332-352,684,26
We Say Thee Nay!,48.52,886-940,1826,62
Castle Doom,48.5,162-172,334,13
HYDRA Infiltration,48.44,778-828,1606,53
Fin Fang Foom,48.44,171-182,353,16
"Captain Mar-Vell, Space-Born",48.39,301-321,622,22
"Swordsman, Sharp Scoundrel",48.38,388-414,802,35
Iron Man Armor,48.37,74-79,153,8
Evil's Thrall,48.36,354-378,732,32
Thirst for Knowledge,48.28,281-301,582,20
"Ares, God of War",48.25,152-163,315,14
Knight of Wundagore,48.21,700-752,1452,52
"Mister Fantastic, Reed Richards",48.21,457-491,948,35
Aerial Doombot,48.2,804-864,1668,62
Punishing Punch,48.17,343-369,712,32
"Captain America, Wings of Freedom",48.12,141-152,293,13
"Hellcat, Undying Vigilante",48.05,432-467,899,33
The Masters of Evil,47.97,461-500,961,40
Captain America's Shield,47.91,183-199,382,17
Stolen Stark Tech,47.91,949-1032,1981,71
Unliving Legionnaire,47.89,840-914,1754,66
Depower,47.86,962-1048,2010,74
Hawkeye's Bow,47.85,813-886,1699,70
Super-Adaptoid,47.85,189-206,395,16
Los Diablos Missile Base,47.84,509-555,1064,44
Pym Particles,47.8,336-367,703,29
S.H.I.E.L.D. Helicarrier,47.78,388-424,812,33
I Am Iron Man,47.74,930-1018,1948,72
Armor Wars,47.73,126-138,264,12
Agent of Atlas,47.72,826-905,1731,65
"Speedball, New Warrior",47.63,372-409,781,35
Go Nuts!,47.6,795-875,1670,62
Plains,47.55,1620-1787,3407,81
Vibranium Energy Daggers,47.53,778-859,1637,65
Claim the Kingdom,47.5,342-378,720,30
Training Regimen,47.41,431-478,909,39
"Crossbones, Malicious Mercenary",47.35,321-357,678,26
"Ultron, Artificial Malevolence",47.34,89-99,188,10
"Agent 13, Sharon Carter",47.33,293-326,619,25
Dark Deed,47.31,343-382,725,26
S.H.I.E.L.D. Deployment Drone,47.31,834-929,1763,63
Super-Skrull,47.31,220-245,465,18
Alien Invasion,47.04,143-161,304,15
Atlantean Cavalry,47.0,831-937,1768,64
Construct a Cosmic Cube,46.99,164-185,349,14
The Astonishing Ant-Man,46.9,121-137,258,11
Agent Phil Coulson,46.84,111-126,237,11
Widow's Bite,46.8,775-881,1656,67
Photon Blast Barrage,46.68,274-313,587,21
Arc Reactor,46.67,168-192,360,19
Volcanic Villain,46.63,712-815,1527,58
Namor the Sub-Mariner,46.56,61-70,131,8
Avengers: Under Siege,46.5,73-84,157,8
"Iron Man, Master of Machines",46.42,292-337,629,27
"Abomination, Terrifying Titan",46.42,246-284,530,22
"Invisible Woman, Sue Storm",46.38,372-430,802,31
Origin of the Avengers,46.23,98-114,212,8
"Arnim Zola, Bio-Fanatic",46.12,321-375,696,30
Moon Girl and Devil Dinosaur,46.04,192-225,417,22
Kang the Conqueror,46.0,69-81,150,5
Tony Stark // The Invincible Iron Man,45.98,40-47,87,4
The Kingpin of Crime,45.87,233-275,508,21
"Killmonger, Scourge of Wakanda",45.8,229-271,500,26
"Doc Samson, Super Psychiatrist",45.78,315-373,688,27
"Tigra, Feline Fury",45.76,275-326,601,26
Too Evil to Stay Dead,45.66,263-313,576,28
Hex Magic,45.55,307-367,674,26
"Wonder Man, Hollywood Hero",45.07,338-412,750,34
Thunderbolts Conspiracy,44.99,157-192,349,16
Avengers Assemble!,44.95,49-60,109,5
Doom Reigns Supreme,44.8,125-154,279,11
"Thanos, the Mad Titan",43.68,38-49,87,4
"Storm, Windrider",43.55,108-140,248,10
Heroic Feast,41.83,128-178,306,17
The Ten Rings,40.86,38-55,93,5
Gathering Place,39.8,121-183,304,14
The Coming of Galactus,37.36,34-57,91,2
"King T'Challa // Black Panther, Hope Enduring",34.72,25-47,72,5
