Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Journey to Nowhere (Copy 1),51.02,53.19,25-22,47,3
Avengers Tower (Copy 2),51.0,51.66,78-73,151,10
Armored Armadillo (Copy 1),50.99,51.49,104-98,202,17
Harried Dronesmith (Copy 1),50.99,52.94,27-24,51,4
"Captain Mar-Vell, Space-Born (Copy 2)",50.99,51.96,53-49,102,7
"Sting, the Glinting Dagger (Copy 1)",50.99,52.94,27-24,51,4
Evil's Thrall (Copy 3),50.98,100.0,2-0,2,1
Stark Industries (Copy 4),50.98,100.0,2-0,2,1
"White Widow, Free Agent (Copy 2)",50.97,52.73,29-26,55,5
Wanted Griffin (Copy 1),50.97,51.43,108-102,210,17
"Madame Web, Clairvoyant (Copy 1)",50.97,51.89,55-51,106,8
Kree Sentinel (Copy 3),50.97,52.73,29-26,55,5
Construct a Cosmic Cube (Copy 3),50.96,75.0,3-1,4,1
"Beast, Erudite Aerialist (Copy 3)",50.96,75.0,3-1,4,1
One Ring to Rule Them All (Copy 1),50.96,75.0,3-1,4,1
Revive the Shire (Copy 2),50.96,75.0,3-1,4,1
Crowd-Control Warden (Copy 2),50.96,75.0,3-1,4,1
Offender at Large (Copy 2),50.96,75.0,3-1,4,1
Sanguine Savior (Copy 2),50.96,75.0,3-1,4,1
"Night Nurse, Healer of Heroes (Copy 2)",50.95,51.82,57-53,110,9
Hotshot Investigators (Copy 1),50.94,51.52,85-80,165,13
Sandman's Quicksand (Copy 2),50.94,66.67,4-2,6,1
"Ozai, the Phoenix King (Copy 2)",50.94,66.67,4-2,6,1
Strength of Will (Copy 2),50.94,66.67,4-2,6,1
Construct a Cosmic Cube (Copy 2),50.93,62.5,5-3,8,1
Snarling Warg (Copy 2),50.93,62.5,5-3,8,1
"Selvala, Eager Trailblazer (Copy 1)",50.93,52.46,32-29,61,4
"Lord Dregg, Insect Invader (Copy 2)",50.93,62.5,5-3,8,1
Lost to Legend (Copy 2),50.93,62.5,5-3,8,1
Hithlain Knots (Copy 2),50.93,62.5,5-3,8,1
"Leonardo, Leader in Blue (Copy 1)",50.93,52.46,32-29,61,7
Dark Fortress (Copy 3),50.93,62.5,5-3,8,1
Roaming Throne (Copy 1),50.93,62.5,5-3,8,1
"Cloak and Dagger, Entwined (Copy 4)",50.93,62.5,5-3,8,1
Scorpion's Sting (Copy 2),50.93,62.5,5-3,8,2
Mouser Mark III (Copy 2),50.93,62.5,5-3,8,1
Vengeful Creeper (Copy 2),50.91,60.0,6-4,10,1
Dog Walker (Copy 2),50.91,60.0,6-4,10,1
"Raphael, Tough Turtle (Copy 2)",50.91,60.0,6-4,10,2
Seize the Secrets (Copy 2),50.91,60.0,6-4,10,1
Pillage the Bog (Copy 1),50.91,60.0,6-4,10,1
Lotus Ring (Copy 1),50.91,60.0,6-4,10,1
Chaos Warp (Copy 1),50.89,52.17,36-33,69,3
Laid to Rest (PLST) VOW-207 (Copy 1),50.89,58.33,7-5,12,1
Suspicious Detonation (Copy 2),50.89,58.33,7-5,12,1
"Yarus, Roar of the Old Gods (Copy 1)",50.89,58.33,7-5,12,1
Mourner's Surprise (Copy 1),50.88,51.59,65-61,126,10
Murdock's Crusade (Copy 4),50.88,57.14,8-6,14,1
Vindictive Warden (Copy 2),50.88,57.14,8-6,14,2
Ithilien Kingfisher (Copy 2),50.88,57.14,8-6,14,2
Barrels of Blasting Jelly (Copy 2),50.88,57.14,8-6,14,1
Sundial of the Infinite (Copy 1),50.88,57.14,8-6,14,1
Crimestopper Sprite (Copy 1),50.87,51.32,97-92,189,15
"Toph, the Blind Bandit (Copy 1)",50.87,52.05,38-35,73,7
Thirst for Knowledge (Copy 2),50.87,52.05,38-35,73,5
Suspicious Detonation (Copy 1),50.86,51.21,127-121,248,18
Azula Always Lies (Copy 2),50.86,56.25,9-7,16,2
Uglúk of the White Hand (Copy 1),50.86,56.25,9-7,16,1
"Krenko, Baron of Tin Street (Copy 1)",50.85,55.56,10-8,18,2
Detention Sphere (Copy 1),50.85,55.56,10-8,18,1
Storm of Saruman (Copy 1),50.85,55.56,10-8,18,2
Angry Rabble (Copy 2),50.85,55.56,10-8,18,2
Bubble Smuggler (Copy 1),50.83,51.41,73-69,142,12
M.O.D.O.K. (Copy 1),50.83,51.41,73-69,142,8
Gandalf the Grey (Copy 1),50.83,55.0,11-9,20,2
Festering Gulch (Copy 1),50.83,51.43,72-68,140,12
Pirate Peddlers (Copy 2),50.83,55.0,11-9,20,3
Grand Abolisher (Copy 1),50.82,54.55,12-10,22,1
The Last Agni Kai (Copy 1),50.82,54.55,12-10,22,1
Wandering Musicians (Copy 2),50.82,54.55,12-10,22,1
Longhorn Sharpshooter (Copy 1),50.81,51.35,76-72,148,13
Mushroom Watchdogs (Copy 1),50.81,51.37,75-71,146,13
"Magda, the Hoardmaster (Copy 1)",50.81,54.17,13-11,24,3
"Aang, at the Crossroads // Aang, Destined Savior (Copy 1)",50.81,54.17,13-11,24,1
"Aang, at the Crossroads // Aang, Destined Savior (Copy 2)",50.81,54.17,13-11,24,1
Shadow of the Enemy (Copy 1),50.81,54.17,13-11,24,2
Treasure Dredger (Copy 1),50.79,51.65,47-44,91,8
"Luke Cage, Power Man (Copy 2)",50.79,53.85,14-12,26,3
Super-Soldier Serum (Copy 2),50.79,53.85,14-12,26,2
Hidden Lair (Copy 2),50.78,53.57,15-13,28,3
Uneasy Alliance (Copy 1),50.78,51.27,81-77,158,13
Rivendell (Copy 1),50.78,53.57,15-13,28,2
Training Compound (Copy 2),50.78,53.57,15-13,28,2
"Falcon, Winged Wonder (Copy 2)",50.77,53.33,16-14,30,3
Venom's Hunger (Copy 2),50.77,53.33,16-14,30,3
Parker Luck (Copy 1),50.77,53.33,16-14,30,2
Seasoned Consultant (Copy 1),50.76,51.55,50-47,97,9
"The Mechanist, Aerial Artisan (Copy 1)",50.76,53.12,17-15,32,4
Bolrac-Clan Basher (Copy 1),50.74,52.78,19-17,36,4
Emergent Haunting (Copy 1),50.74,51.46,53-50,103,7
Hour of Defeat (Copy 4),50.72,52.63,20-18,38,2
"Arachne, Psionic Weaver (Copy 1)",50.72,52.63,20-18,38,2
Sudden Setback (Copy 1),50.72,52.63,20-18,38,2
Shire Scarecrow (Copy 1),50.7,51.08,95-91,186,13
Ruthless Lawbringer (Copy 1),50.7,51.3,59-56,115,7
Ant-Man's Army (Copy 3),50.68,51.24,62-59,121,10
Crimson Operative (Copy 3),50.68,52.08,25-23,48,6
Fanatical Strength (Copy 1),50.67,52.0,26-24,50,4
Inside Source (Copy 1),50.66,50.99,103-99,202,18
"The Thing, Ben Grimm (Copy 2)",50.66,51.16,66-63,129,8
Slick Sequence (Copy 1),50.66,51.92,27-25,52,5
Seraphic Steed (Copy 1),50.66,51.92,27-25,52,3
United Front (Copy 1),50.65,51.85,28-26,54,4
Unscrupulous Agent (Copy 1),50.64,51.11,69-66,135,11
Agency Outfitter (Copy 1),50.63,51.72,30-28,58,3
Aunt May (Copy 1),50.62,51.61,32-30,62,4
"Goldberry, River-Daughter (Copy 1)",50.62,51.61,32-30,62,4
Stark Industries Executive (Copy 2),50.62,50.83,154-149,303,24
Stoic Sphinx (Copy 1),50.62,51.61,32-30,62,3
Forum Familiar (Copy 1),50.61,51.56,33-31,64,5
Surveillance Monitor (Copy 1),50.6,51.52,34-32,66,7
Forsaken Miner (Copy 1),50.6,51.52,34-32,66,5
Glider Kids (Copy 1),50.6,50.85,120-116,236,15
"Mai, Scornful Striker (Copy 1)",50.6,51.47,35-33,68,5
"Attuma, Atlantean Warlord (Copy 1)",50.58,50.65,427-416,843,49
Hedge Whisperer (Copy 1),50.58,51.39,37-35,72,5
"Ty Lee, Chi Blocker (Copy 1)",50.58,51.39,37-35,72,5
Case of the Trampled Garden (Copy 1),50.57,51.35,38-36,74,9
Barbed Servitor (Copy 1),50.57,51.32,39-37,76,4
Death to Our Enemies (Copy 2),50.56,51.25,41-39,80,7
Sterling Supplier (Copy 1),50.55,50.75,135-131,266,17
Hamato Guardian Stance (Copy 1),50.55,50.87,88-85,173,15
Accumulate Wisdom (Copy 1),50.55,51.22,42-40,82,5
Rustler Rampage (Copy 1),50.54,51.19,43-41,84,8
Energybending (Copy 1),50.54,51.16,44-42,86,7
"Koya, Death from Above (Copy 1)",50.54,51.19,43-41,84,7
Silver Deputy (Copy 1),50.53,50.72,141-137,278,22
Form a Posse (Copy 1),50.53,51.14,45-43,88,7
Benevolent River Spirit (Copy 1),50.52,51.09,47-45,92,8
"Jennika, Bad Apple Big Sister (Copy 1)",50.51,50.77,99-96,195,21
You Cannot Pass! (Copy 1),50.51,51.04,49-47,96,8
Frodo Baggins (Copy 1),50.51,51.02,50-48,98,7
Quick Draw (Copy 1),50.5,50.74,103-100,203,19
"Leader, Super-Genius (Copy 1)",50.5,50.66,154-150,304,21
Super Strength (Copy 4),50.5,100.0,1-0,1,1
"Splinter, Hamato Yoshi (Copy 1)",50.5,51.0,51-49,100,11
Jeong Jeong's Deserters (Copy 2),50.5,100.0,1-0,1,1
Giant Koi (Copy 2),50.5,100.0,1-0,1,1
Cunning Maneuver (Copy 3),50.5,100.0,1-0,1,1
Shire Terrace (Copy 2),50.5,100.0,1-0,1,1
Ultron Drone (Copy 4),50.5,100.0,1-0,1,1
Dúnedain Rangers (Copy 2),50.49,66.67,2-1,3,1
Unstable Experiment (Copy 2),50.49,66.67,2-1,3,1
Electro's Bolt (Copy 3),50.49,66.67,2-1,3,1
Undercover Skrull (Copy 4),50.49,66.67,2-1,3,1
Deceive the Messenger (Copy 2),50.48,60.0,3-2,5,2
Olog-hai Crusher (Copy 2),50.48,60.0,3-2,5,2
S.H.I.E.L.D. Flying Car (Copy 2),50.48,60.0,3-2,5,1
"Reptil, Dinomorpher (Copy 3)",50.48,60.0,3-2,5,1
Hunted Bonebrute (Copy 1),50.48,60.0,3-2,5,2
"Captain Marvel, Earth's Protector (Copy 2)",50.48,60.0,3-2,5,1
"Iron Fist, Living Weapon (Copy 4)",50.48,60.0,3-2,5,1
Wedding Ring (Copy 1),50.47,57.14,4-3,7,1
Turtle-Duck (Copy 2),50.47,57.14,4-3,7,2
Norman Osborn // Green Goblin (Copy 1),50.47,57.14,4-3,7,1
Turncoat Kunoichi (Copy 2),50.47,57.14,4-3,7,1
Archangel of Tithes (Copy 1),50.47,57.14,4-3,7,1
Agent of Atlas (Copy 4),50.47,57.14,4-3,7,1
Sterling Keykeeper (Copy 2),50.47,57.14,4-3,7,1
Daring Thunder-Thief (Copy 2),50.47,57.14,4-3,7,1
"Gisa, the Hellraiser (Copy 1)",50.47,57.14,4-3,7,1
Red Herring (Copy 1),50.46,50.66,115-112,227,17
Doors of Durin (Copy 1),50.46,55.56,5-4,9,2
Patient Naturalist (Copy 2),50.46,55.56,5-4,9,1
Ringsight (Copy 2),50.46,55.56,5-4,9,1
"Sharkey, Tyrant of the Shire (Copy 1)",50.46,55.56,5-4,9,2
Treetop Freedom Fighters (Copy 2),50.46,55.56,5-4,9,1
"Ty Lee, Artful Acrobat (Copy 1)",50.45,50.82,62-60,122,10
Cool but Rude (Copy 1),50.45,54.55,6-5,11,2
Easterling Vanguard (Copy 2),50.45,54.55,6-5,11,2
"Cloak and Dagger, Entwined (Copy 3)",50.45,54.55,6-5,11,1
Boiling Rock Rioter (Copy 1),50.45,54.55,6-5,11,1
"Chameleon, Master of Disguise (Copy 2)",50.45,54.55,6-5,11,1
Sample Collector (Copy 2),50.45,54.55,6-5,11,1
University Campus (Copy 2),50.44,53.85,7-6,13,3
Nobody (Copy 2),50.44,53.85,7-6,13,2
"Titania, Rugged Rumbler (Copy 3)",50.44,53.85,7-6,13,2
Annie Joins Up (Copy 1),50.44,53.85,7-6,13,2
Case of the Gorgon's Kiss (Copy 1),50.44,53.85,7-6,13,2
"Red Guardian, Super-Soldier (Copy 3)",50.44,53.85,7-6,13,1
"Hydro-Man, Fluid Felon (Copy 1)",50.43,52.94,9-8,17,2
Quilled Charger (Copy 1),50.43,50.77,66-64,130,13
Omni-Cheese Pizza (Copy 2),50.43,52.94,9-8,17,2
Unlicensed Hearse (Copy 1),50.43,53.33,8-7,15,2
Hide in Plain Sight (Copy 2),50.43,52.94,9-8,17,1
Training Regimen (Copy 3),50.42,52.63,10-9,19,1
Razor Rings (Copy 2),50.42,52.63,10-9,19,1
"Spider-Woman, Secret Agent (Copy 1)",50.41,50.47,323-317,640,43
"Roxanne, Starfall Savant (Copy 1)",50.41,52.17,12-11,23,3
"Captain America, Wings of Freedom (Copy 2)",50.41,52.17,12-11,23,1
Mechanized Production (Copy 1),50.41,52.38,11-10,21,1
Lumbering Laundry (Copy 1),50.41,52.17,12-11,23,2
"Lazav, Wearer of Faces (Copy 1)",50.41,52.38,11-10,21,2
"Mikey & Don, Party Planners (Copy 1)",50.41,52.17,12-11,23,2
Heroic Intervention (Copy 2),50.41,52.38,11-10,21,1
"Okoye, Dora Milaje Leader (Copy 3)",50.4,52.0,13-12,25,2
Nasty End (Copy 2),50.39,51.85,14-13,27,2
"Ozai, the Phoenix King (Copy 1)",50.39,51.85,14-13,27,2
"Stockman, Mad Fly-entist (Copy 2)",50.39,51.85,14-13,27,2
Red Herring (Copy 2),50.38,51.52,17-16,33,3
Granite Witness (Copy 1),50.38,50.62,81-79,160,13
Red Room Recruit (Copy 3),50.38,51.61,16-15,31,7
Birnin Zana Plaza (Copy 3),50.38,51.61,16-15,31,2
Fisk Tower (Copy 3),50.38,51.61,16-15,31,2
Magebane Lizard (Copy 1),50.38,51.52,17-16,33,3
"Wolverine, Best There Is (Copy 1)",50.37,51.43,18-17,35,2
Null Group Biological Assets (Copy 1),50.37,50.58,87-85,172,15
"Slash, Reptile Rampager (Copy 1)",50.37,51.43,18-17,35,3
Tundra Tank (Copy 1),50.37,51.43,18-17,35,4
Endless Detour (Copy 1),50.37,51.43,18-17,35,3
Grey Havens Navigator (Copy 1),50.36,50.56,91-89,180,15
Does Machines (Copy 1),50.36,51.35,19-18,37,3
Lost Isle Calling (Copy 1),50.36,51.35,19-18,37,2
The Astonishing Ant-Man (Copy 2),50.36,51.28,20-19,39,2
Agents of S.H.I.E.L.D. (Copy 3),50.35,51.22,21-20,41,3
The One Ring (Copy 1),50.35,51.16,22-21,43,3
Mondo Gecko (Copy 1),50.35,51.16,22-21,43,3
"Lizard, Connors's Curse (Copy 1)",50.34,51.11,23-22,45,3
Barad-dûr (Copy 1),50.34,51.11,23-22,45,3
J. Jonah Jameson (Copy 1),50.34,51.11,23-22,45,4
Yip Yip! (Copy 1),50.33,50.5,102-100,202,20
"Iron Fist, Living Weapon (Copy 3)",50.33,50.94,27-26,53,3
Spider-Man 2099 (Copy 1),50.32,50.88,29-28,57,4
"Captain America, First Avenger (Copy 1)",50.32,50.91,28-27,55,3
Exit Specialist (Copy 1),50.32,50.91,28-27,55,3
"Prowler, Clawed Thief (Copy 1)",50.31,50.82,31-30,61,6
Slickshot Show-Off (Copy 1),50.29,50.67,38-37,75,5
"Jolene, Plundering Pugilist (Copy 1)",50.28,50.65,39-38,77,7
"Bonny Pall, Clearcutter (Copy 1)",50.28,50.63,40-39,79,5
Badlands Revival (Copy 1),50.28,50.65,39-38,77,6
Krovod Haunch (Copy 1),50.28,50.63,40-39,79,6
Buzzard-Wasp Colony (Copy 1),50.28,50.63,40-39,79,5
Repulsive Mutation (Copy 1),50.26,50.55,46-45,91,7
Political Triumph (Copy 2),50.25,50.5,51-50,101,7
Agent of Atlas (Copy 3),50.25,50.5,51-50,101,7
Agent Maria Hill (Copy 2),50.24,50.46,55-54,109,7
Restorative Technique (Copy 2),50.23,50.3,170-168,338,21
Rhino's Rampage (Copy 1),50.21,50.36,69-68,137,10
Mirage Mesa (Copy 1),50.18,50.27,92-91,183,13
Mutant Chain Reaction (Copy 1),50.18,50.27,92-91,183,16
Felonious Rage (Copy 1),50.17,50.27,94-93,187,13
Snarling Warg (Copy 1),50.17,50.25,102-101,203,16
Asgardian Citadel (Copy 1),50.11,50.12,414-412,826,48
"Yellowjacket, Heartless Marauder (Copy 1)",50.05,50.06,423-422,845,51
Atlantis Attacks (Copy 2),50.0,50.0,214-214,428,31
Expedited Inheritance (Copy 1),50.0,50.0,15-15,30,2
Rakish Crew (Copy 1),50.0,50.0,54-54,108,7
Hellspur Posse Boss (Copy 1),50.0,50.0,6-6,12,1
Terminal Agony (Copy 1),50.0,50.0,21-21,42,3
Holy Cow (Copy 2),50.0,50.0,8-8,16,2
Voracious Varmint (Copy 1),50.0,50.0,109-109,218,17
Krenko's Buzzcrusher (Copy 1),50.0,50.0,20-20,40,3
Scorpion's Sting (Copy 1),50.0,50.0,108-108,216,18
Romantic Rendezvous (Copy 2),50.0,50.0,19-19,38,5
Kapow! (Copy 2),50.0,50.0,4-4,8,2
Creosote Heath (Copy 1),50.0,50.0,47-47,94,8
Frog Butler (Copy 1),50.0,50.0,65-65,130,12
Jaded Analyst (Copy 1),50.0,50.0,45-45,90,9
Faerie Snoop (Copy 1),50.0,50.0,30-30,60,6
Press the Enemy (Copy 1),50.0,50.0,20-20,40,4
Notion Thief (Copy 1),50.0,50.0,11-11,22,2
Snakeskin Veil (Copy 2),50.0,50.0,10-10,20,1
Discerning Peddler (Copy 1),50.0,50.0,90-90,180,14
Scalestorm Summoner (Copy 1),50.0,50.0,11-11,22,2
Sandstorm Verge (Copy 1),50.0,50.0,82-82,164,10
"The Balrog, Durin's Bane (Copy 1)",50.0,50.0,20-20,40,3
Pelargir Survivor (Copy 2),50.0,50.0,2-2,4,1
Voracious Fell Beast (Copy 2),50.0,50.0,2-2,4,1
Frodo Baggins (Copy 2),50.0,50.0,2-2,4,1
Fugitive Codebreaker (Copy 1),50.0,50.0,24-24,48,4
Stolen Stark Tech (Copy 4),50.0,50.0,1-1,2,1
Loki Laufeyson (Copy 2),50.0,50.0,32-32,64,6
Manhole Missile (Copy 2),50.0,50.0,3-3,6,1
Battle-Scarred Goblin (Copy 2),50.0,50.0,10-10,20,3
Failed Fording (Copy 1),50.0,50.0,81-81,162,11
Clear Shot (Copy 1),50.0,50.0,6-6,12,2
A Killer Among Us (Copy 1),50.0,50.0,22-22,44,3
Urban Retreat (Copy 1),50.0,50.0,1-1,2,1
"Donatello, Turtle Techie (Copy 2)",50.0,50.0,6-6,12,1
Foot Ninjas (Copy 2),50.0,50.0,6-6,12,1
Improvised Arsenal (Copy 1),50.0,50.0,2-2,4,1
Epic Downfall (Copy 1),50.0,50.0,28-28,56,6
"Quake, Agent of S.H.I.E.L.D. (Copy 2)",50.0,50.0,30-30,60,6
"April, Reporter of the Weird (Copy 1)",50.0,50.0,15-15,30,2
Hide in Plain Sight (Copy 1),50.0,50.0,13-13,26,2
"Thor, God of Thunder (Copy 1)",50.0,50.0,182-182,364,20
"Don & Leo, Problem Solvers (Copy 1)",50.0,50.0,6-6,12,2
Firebending Lesson (Copy 2),50.0,50.0,14-14,28,2
"Spider-Man, Web-Slinger (Copy 2)",50.0,50.0,4-4,8,2
Aang's Iceberg (Copy 1),50.0,50.0,12-12,24,4
Oliphaunt (Copy 2),50.0,50.0,7-7,14,2
Badgermole Cub (Copy 1),50.0,50.0,18-18,36,2
Knight of Wundagore (Copy 3),50.0,50.0,10-10,20,4
Mirkwood Bats (Copy 2),50.0,50.0,5-5,10,3
Final Showdown (Copy 1),50.0,50.0,3-3,6,1
King of the Oathbreakers (Copy 1),50.0,50.0,18-18,36,2
Krang & Shredder (Copy 1),50.0,50.0,21-21,42,6
Mutant Town (Copy 2),50.0,50.0,18-18,36,3
Kraven the Hunter (Copy 1),50.0,50.0,14-14,28,4
"Rat King, Verminister (Copy 1)",50.0,50.0,4-4,8,1
Sam's Desperate Rescue (Copy 2),50.0,50.0,2-2,4,1
Goldvein Hydra (Copy 2),50.0,50.0,5-5,10,1
Full Steam Ahead (Copy 2),50.0,50.0,5-5,10,1
Impostor Syndrome (Copy 1),50.0,50.0,2-2,4,2
Nasty End (Copy 3),50.0,50.0,1-1,2,1
Lothlórien Lookout (Copy 2),50.0,50.0,1-1,2,1
Soldier of the Grey Host (Copy 2),50.0,50.0,8-8,16,1
March from the Black Gate (Copy 1),50.0,50.0,16-16,32,3
Tainted Treats (Copy 2),50.0,50.0,7-7,14,2
Rebellious Captives (Copy 2),50.0,50.0,5-5,10,3
Mindslaver (Copy 1),50.0,50.0,9-9,18,2
Thunder Lasso (Copy 1),50.0,50.0,72-72,144,9
Los Diablos Missile Base (Copy 3),50.0,50.0,18-18,36,5
Rancor (Copy 1),50.0,50.0,22-22,44,2
Underground Mortuary (Copy 1),50.0,50.0,12-12,24,2
"Rakdos, the Muscle (Copy 1)",50.0,50.0,19-19,38,2
H.E.R.B.I.E. Scout Unit (Copy 4),50.0,50.0,8-8,16,1
Out Cold (Copy 2),50.0,50.0,10-10,20,2
Bruce Banner // The Incredible Hulk (Copy 2),50.0,50.0,9-9,18,1
Grey Havens Navigator (Copy 2),50.0,50.0,7-7,14,1
Doc Ock's Tentacles (Copy 1),50.0,50.0,8-8,16,2
Escape from Orthanc (Copy 2),50.0,50.0,10-10,20,1
Flexible Waterbender (Copy 2),50.0,50.0,6-6,12,1
"Toph, Hardheaded Teacher (Copy 2)",50.0,50.0,6-6,12,1
Akul the Unrepentant (Copy 1),50.0,50.0,18-18,36,4
Chrome Dome (Copy 1),50.0,50.0,17-17,34,3
Thwip! (Copy 2),50.0,50.0,13-13,26,3
Ioreth of the Healing House (Copy 2),50.0,50.0,1-1,2,1
Enraged Huorn (Copy 2),50.0,50.0,1-1,2,1
"Éowyn, Fearless Knight (Copy 2)",50.0,50.0,1-1,2,1
Siphon Insight (Copy 1),50.0,50.0,2-2,4,1
Leonin Relic-Warder (PLST) MBS-10 (Copy 1),50.0,50.0,4-4,8,2
"Spider-Woman, Secret Agent (Copy 4)",50.0,50.0,4-4,8,1
Vision Quest (Copy 2),50.0,50.0,4-4,8,1
Tom Bombadil (Copy 1),50.0,50.0,12-12,24,2
Technodrome (Copy 1),50.0,50.0,8-8,16,1
Cosmic Spider-Man (Copy 1),50.0,50.0,8-8,16,2
"Falcon, Winged Wonder (Copy 3)",50.0,50.0,7-7,14,1
Moon Girl and Devil Dinosaur (Copy 2),50.0,50.0,7-7,14,1
"Lita, Little Orphan Amphibian (Copy 2)",50.0,50.0,6-6,12,1
Powerful Broker (Copy 4),50.0,50.0,1-1,2,1
Asgardian Citadel (Copy 3),50.0,50.0,1-1,2,1
Defenestrated Phantom (Copy 2),50.0,50.0,12-12,24,2
Dependable Quinjet (Copy 3),50.0,50.0,13-13,26,2
"Gwenom, Remorseless (Copy 1)",50.0,50.0,6-6,12,1
Primordial Pachyderm (Copy 2),50.0,50.0,3-3,6,1
"Scarlet Spider, Kaine (Copy 2)",50.0,50.0,2-2,4,1
Shadow of the Goblin (Copy 2),50.0,50.0,1-1,2,1
"Shriek, Treblemaker (Copy 2)",50.0,50.0,1-1,2,1
Desert (Copy 1),50.0,50.0,14-14,28,2
"Winter Soldier, Icy Assassin (Copy 2)",50.0,50.0,5-5,10,1
Water Tribe Captain (Copy 3),50.0,50.0,1-1,2,1
Lost Days (Copy 2),50.0,50.0,1-1,2,1
"Yellowjacket, Heartless Marauder (Copy 3)",50.0,50.0,4-4,8,1
"Oroku Saki, Shredder Rising (Copy 2)",50.0,50.0,12-12,24,2
"Jennika, Bad Apple Big Sister (Copy 3)",50.0,50.0,7-7,14,2
Makeshift Binding (Copy 2),50.0,50.0,6-6,12,1
Mushroom Watchdogs (Copy 2),50.0,50.0,4-4,8,1
Cast into the Fire (Copy 2),50.0,50.0,2-2,4,1
Long List of the Ents (Copy 3),50.0,50.0,2-2,4,1
"Mister Fantastic, Reed Richards (Copy 3)",50.0,50.0,8-8,16,1
Omashu City (Copy 2),50.0,50.0,4-4,8,1
Bespoke Bō (Copy 2),50.0,50.0,4-4,8,1
Squirrelanoids (Copy 2),50.0,50.0,4-4,8,1
Anchovy & Banana Pizza (Copy 2),50.0,50.0,2-2,4,1
East Wind Avatar (Copy 2),50.0,50.0,1-1,2,1
Courier of Comestibles (Copy 2),50.0,50.0,1-1,2,1
Punk Frogs (Copy 2),50.0,50.0,1-1,2,1
Slickshot Lockpicker (Copy 2),50.0,50.0,6-6,12,1
Sandbenders' Storm (Copy 2),50.0,50.0,1-1,2,1
"Joo Dee, One of Many (Copy 2)",50.0,50.0,1-1,2,1
Super Speed (Copy 2),49.9,49.88,207-208,415,26
First-Time Flyer (Copy 1),49.87,49.82,136-137,273,23
The Vision (Copy 1),49.87,49.82,137-138,275,20
Skyward Spider (Copy 1),49.85,49.79,117-118,235,20
"Captain America, Super-Soldier (Copy 1)",49.83,49.74,96-97,193,13
Djinn of Fool's Fall (Copy 1),49.83,49.75,100-101,201,17
Flexible Waterbender (Copy 1),49.82,49.72,88-89,177,18
Ragamuffin Raptor (Copy 1),49.8,49.66,73-74,147,15
Outlaws' Fury (Copy 1),49.8,49.68,77-78,155,12
Explosive Derailment (Copy 1),49.79,49.62,66-67,133,13
Enter the Avatar State (Copy 1),49.78,49.59,61-62,123,10
"Sokka, Lateral Strategist (Copy 1)",49.78,49.61,63-64,127,10
Abraded Bluffs (Copy 1),49.78,49.61,63-64,127,8
Make Your Own Luck (Copy 1),49.77,49.59,60-61,121,9
Concealed Weapon (Copy 1),49.77,49.56,56-57,113,7
Trickster's Stratagem (Copy 3),49.76,49.52,52-53,105,9
Curious Cadaver (Copy 1),49.74,49.45,45-46,91,9
The Spirit Oasis (Copy 1),49.74,49.44,44-45,89,6
Rubblebelt Braggart (Copy 1),49.74,49.46,46-47,93,12
Forlorn Flats (Copy 1),49.73,49.43,43-44,87,8
Giant Beaver (Copy 1),49.73,49.64,137-139,276,20
Clandestine Meddler (Copy 1),49.72,49.35,38-39,77,5
Case File Auditor (Copy 1),49.71,49.32,36-37,73,5
Henchbots (Copy 1),49.71,49.3,35-36,71,7
"Pizza Face, Gastromancer (Copy 1)",49.71,49.3,35-36,71,9
At Knifepoint (Copy 1),49.71,49.32,36-37,73,4
"Beast, Erudite Aerialist (Copy 2)",49.7,49.28,34-35,69,7
Hydraulic Helper (Copy 3),49.7,49.28,34-35,69,5
Wisecrack (Copy 1),49.7,49.25,33-34,67,6
Electrodominance (Copy 1),49.7,49.25,33-34,67,6
Lessons from Life (Copy 1),49.69,49.21,31-32,63,6
Nurturing Pixie (Copy 1),49.69,49.18,30-31,61,5
Case of the Filched Falcon (Copy 1),49.68,49.12,28-29,57,5
"Mjölnir, Hammer of Thor (Copy 1)",49.68,49.54,107-109,216,14
Blazing Crescendo (Copy 2),49.67,49.61,254-258,512,37
"Zuko, Conflicted (Copy 1)",49.67,49.02,25-26,51,6
Friendly Rivalry (Copy 1),49.67,49.02,25-26,51,5
Raven of Fell Omens (Copy 1),49.66,49.48,95-97,192,15
Caustic Bronco (Copy 1),49.66,48.89,22-23,45,3
"Mysterio, Master of Illusion (Copy 1)",49.66,48.94,23-24,47,3
"Bebop, Warthog Warrior (Copy 1)",49.65,49.47,93-95,188,19
Three Steps Ahead (Copy 1),49.65,48.84,21-22,43,4
Passenger Ferry (Copy 2),49.65,48.78,20-21,41,5
Presumed Dead (Copy 1),49.64,48.65,18-19,37,4
Baxter Stockman (Copy 1),49.64,48.72,19-20,39,8
Flotsam // Jetsam (Copy 1),49.64,48.65,18-19,37,5
Eriette's Lullaby (Copy 1),49.64,49.44,88-90,178,15
Eliminate the Impossible (Copy 1),49.62,48.39,15-16,31,3
Hard Evidence (PLST) MH2-46 (Copy 1),49.62,48.48,16-17,33,2
Helicarrier Strike (Copy 2),49.61,49.51,204-208,412,27
"Stature, Size Shifter (Copy 2)",49.61,48.28,14-15,29,4
