Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Omni-Cheese Pizza (Copy 1),53.4,55.02,115-94,209,16
Miles Morales // Ultimate Spider-Man (Copy 1),53.38,60.42,29-19,48,3
The Bath Song (Copy 1),53.37,58.73,37-26,63,6
Congregation Gryff (Copy 2),53.33,70.0,14-6,20,1
Void Rend (Copy 1),53.33,70.0,14-6,20,1
"Captain America, Super-Soldier (Copy 2)",53.33,70.0,14-6,20,1
Ravenous Tyrannosaurus (Copy 1),53.33,70.0,14-6,20,1
Omenpath Journey (Copy 1),53.28,68.18,15-7,22,2
Daring Thunder-Thief (Copy 1),53.28,55.56,80-64,144,12
Stoneforge Mystic (Copy 1),53.28,68.18,15-7,22,1
Shoot the Sheriff (Copy 1),53.28,68.18,15-7,22,1
Shredder's Armor (Copy 1),53.27,56.57,56-43,99,9
Outcaster Trailblazer (Copy 1),53.25,59.26,32-22,54,5
Steer Clear (Copy 2),53.21,88.89,8-1,9,1
Invasion Reinforcements (Copy 1),53.19,56.82,50-38,88,5
Smite the Deathless (Copy 2),53.17,65.38,17-9,26,4
Baxter Building (Copy 2),53.15,55.74,68-54,122,8
"Ghired, Mirror of the Wilds (Copy 1)",53.15,60.47,26-17,43,2
Spirebluff Canal (Copy 1),53.15,81.82,9-2,11,2
Bucolic Ranch (Copy 1),53.12,58.33,35-25,60,4
"Don & Raph, Hard Science (Copy 1)",53.12,58.33,35-25,60,5
Goldvein Hydra (Copy 1),53.1,60.0,27-18,45,3
EPF Point Squad (Copy 2),53.1,60.0,27-18,45,4
Lightning Strike (Copy 4),53.1,76.92,10-3,13,1
Sewer-veillance Cam (Copy 1),53.09,54.46,122-102,224,22
Avatar's Wrath (Copy 1),53.08,63.33,19-11,30,2
Fisk Tower (Copy 2),53.06,56.25,54-42,96,5
"War Machine, Legacy of Iron (Copy 3)",53.05,57.81,37-27,64,4
Grounded for Life (Copy 1),53.05,54.39,124-104,228,19
Crime // Punishment (Copy 1),53.03,62.5,20-12,32,2
Primal Might (Copy 1),53.03,62.5,20-12,32,2
Curious Inquiry (Copy 1),53.01,56.63,47-36,83,6
Cruel Alliance (Copy 2),52.99,53.97,163-139,302,21
Intrepid Stablemaster (Copy 1),52.99,55.22,74-60,134,8
Deepmuck Desperado (Copy 1),52.99,61.76,21-13,34,3
Show and Tell (Copy 1),52.99,70.59,12-5,17,1
Rohirrim Lancer (Copy 2),52.99,70.59,12-5,17,2
Great Train Heist (Copy 1),52.98,58.82,30-21,51,4
Fuss // Bother (Copy 1),52.97,55.15,75-61,136,9
Earthbender Ascension (Copy 1),52.94,68.42,13-6,19,1
Cactusfolk Sureshot (Copy 2),52.94,68.42,13-6,19,1
Spinewoods Armadillo (Copy 1),52.91,56.94,41-31,72,7
Karlov Watchdog (Copy 1),52.9,58.18,32-23,55,5
Allies at Last (Copy 1),52.89,54.93,78-64,142,11
"Wolverine, Fierce Fighter (Copy 1)",52.85,53.69,182-157,339,20
"Frodo, Sauron's Bane (Copy 1)",52.85,65.22,15-8,23,2
Break Out (Copy 1),52.83,57.63,34-25,59,5
Imp's Mischief (Copy 1),52.8,64.0,16-9,25,4
"Whiplash, Vengeful Engineer (Copy 3)",52.8,64.0,16-9,25,1
"Eriette, the Beguiler (Copy 1)",52.8,64.0,16-9,25,2
Reach for the Sky (Copy 2),52.78,87.5,7-1,8,2
Step Between Worlds (Copy 1),52.78,56.25,45-35,80,7
"Rick Jones, Destined Sidekick (Copy 2)",52.76,57.14,36-27,63,4
Rising of the Day (Copy 2),52.73,80.0,8-2,10,1
Congregation Gryff (Copy 1),52.72,55.95,47-37,84,6
Pet Avengers (Copy 3),52.71,55.34,57-46,103,9
"Spider-Gwen, Free Spirit (Copy 1)",52.71,54.43,86-72,158,12
Foot Mystic (Copy 1),52.71,55.34,57-46,103,13
Collective Defiance (Copy 1),52.71,62.07,18-11,29,2
Gila Courser (Copy 1),52.7,58.33,28-20,48,4
Hindering Light (Copy 1),52.69,56.72,38-29,67,5
Novice Inspector (Copy 2),52.68,75.0,9-3,12,1
Absolving Lammasu (Copy 2),52.68,75.0,9-3,12,1
Sanitation Automaton (Copy 2),52.68,75.0,9-3,12,1
Scientist Supreme of A.I.M. (Copy 1),52.66,53.14,296-261,557,32
"Rocksteady, Crash Courser (Copy 1)",52.66,53.78,128-110,238,20
Anchovy & Banana Pizza (Copy 1),52.65,54.76,69-57,126,13
Innocent Bystander (Copy 1),52.63,54.42,80-67,147,13
Team Avatar (Copy 1),52.63,56.34,40-31,71,6
Earth Rumble Wrestlers (Copy 2),52.63,71.43,10-4,14,1
"Electro, Assaulting Battery (Copy 1)",52.63,60.61,20-13,33,3
Sozin's Comet (Copy 1),52.63,71.43,10-4,14,1
Frantic Scapegoat (Copy 1),52.61,54.95,61-50,111,8
Dependable Quinjet (Copy 2),52.6,53.58,142-123,265,21
Polygraph Orb (Copy 1),52.6,55.43,51-41,92,8
Hotshot Investigators (Copy 2),52.59,68.75,11-5,16,2
Hostile Investigator (Copy 1),52.59,68.75,11-5,16,1
Dance of the Tumbleweeds (Copy 2),52.59,68.75,11-5,16,1
Fractured Identity (Copy 1),52.59,60.0,21-14,35,2
Conduit Pylons (Copy 1),52.57,54.07,93-79,172,12
"Captain America, Wings of Freedom (Copy 3)",52.54,66.67,12-6,18,1
"Ironheart, Clever Champion (Copy 2)",52.54,66.67,12-6,18,1
Deadly Dispute (Copy 1),52.54,66.67,12-6,18,1
Super Speed (Copy 4),52.54,66.67,12-6,18,1
"Haru, Hidden Talent (Copy 1)",52.53,56.9,33-25,58,7
HYDRA Infiltration (Copy 3),52.52,58.97,23-16,39,2
Prairie Dog (Copy 1),52.51,55.7,44-35,79,6
"The Sentry, Golden Guardian (Copy 1)",52.5,53.33,160-140,300,18
Shepherd of the Clouds (Copy 1),52.5,56.67,34-26,60,5
Warbeast of Gorgoroth (Copy 2),52.5,65.0,13-7,20,2
Beifong's Bounty Hunters (Copy 1),52.5,65.0,13-7,20,1
Kraul Whipcracker (Copy 1),52.48,58.54,24-17,41,2
"Leonardo, Cutting Edge (Copy 1)",52.48,58.54,24-17,41,3
Restorative Technique (Copy 3),52.48,58.54,24-17,41,3
"Bill Ferny, Bree Swindler (Copy 1)",52.48,58.54,24-17,41,3
"Rocksteady, Crash Courser (Copy 2)",52.47,56.45,35-27,62,6
"Colleen Wing, Street Samurai (Copy 3)",52.46,63.64,14-8,22,1
Nurturing Pixie (Copy 2),52.46,63.64,14-8,22,1
Prickly Pair (Copy 2),52.46,63.64,14-8,22,1
Redirect Lightning (Copy 1),52.46,63.64,14-8,22,1
Reach for the Sky (Copy 1),52.41,53.68,102-88,190,16
Galvanize (Copy 1),52.41,53.68,102-88,190,14
It Doesn't Add Up (Copy 1),52.38,61.54,16-10,26,3
"Misty Knight, Hero for Hire (Copy 3)",52.38,100.0,5-0,5,1
Deadeye Duelist (Copy 1),52.38,53.61,104-90,194,14
Karai's Technique (Copy 1),52.38,57.45,27-20,47,4
"Monica Rambeau // Photon, Living Light (Copy 1)",52.37,53.11,171-151,322,18
"Moonstone, Harsh Mistress (Copy 2)",52.36,54.95,50-41,91,5
Riftburst Hellion (Copy 2),52.34,85.71,6-1,7,1
"Kambal, Profiteering Mayor (Copy 1)",52.32,56.86,29-22,51,4
Vindictive Warden (Copy 1),52.31,53.25,131-115,246,17
Ominous Asylum (Copy 1),52.31,54.31,63-53,116,10
Griffnaut Tracker (Copy 1),52.31,53.33,120-105,225,16
Reenact the Crime (Copy 1),52.31,60.0,18-12,30,3
Primal Command (Copy 1),52.31,60.0,18-12,30,2
Ooze Spill (Copy 1),52.3,55.41,41-33,74,6
"Kylox, Visionary Inventor (Copy 1)",52.29,56.6,30-23,53,3
"The Mechanist, Aerial Artisan (Copy 2)",52.29,77.78,7-2,9,1
"Splinter, Radical Rat (Copy 1)",52.29,77.78,7-2,9,1
Rock Soldiers (Copy 2),52.29,77.78,7-2,9,1
TCRI Building (Copy 3),52.29,77.78,7-2,9,1
Hawkeye's Bow (Copy 3),52.27,59.38,19-13,32,2
Mind Transfer Protocol (Copy 2),52.25,72.73,8-3,11,2
"Ertha Jo, Frontier Mentor (Copy 1)",52.25,55.13,43-35,78,5
"Mole Man, Moloid Master (Copy 1)",52.23,52.83,196-175,371,24
Inventive Wingsmith (Copy 1),52.23,53.4,102-89,191,15
Cerebral Confiscation (Copy 1),52.21,53.69,80-69,149,11
Shredder's Armor (Copy 2),52.21,69.23,9-4,13,1
Soul Search (Copy 1),52.21,69.23,9-4,13,1
Banish from Edoras (Copy 2),52.21,69.23,9-4,13,1
Spiteful Banditry (Copy 1),52.21,69.23,9-4,13,1
Generous Ent (Copy 2),52.21,69.23,9-4,13,1
The Unbeatable Squirrel Girl (Copy 1),52.19,52.77,200-179,379,23
Wartime Protestors (Copy 1),52.17,66.67,10-5,15,2
Consuming Ashes (Copy 2),52.17,66.67,10-5,15,1
Twin Blades (Copy 1),52.17,54.76,46-38,84,6
Courier of Comestibles (Copy 1),52.15,54.65,47-39,86,8
Call Damage Control (Copy 3),52.15,54.65,47-39,86,10
Plan the Heist (Copy 1),52.14,57.5,23-17,40,4
Birnin Zana Plaza (Copy 2),52.11,53.26,98-86,184,12
Tyrant's Scorn (Copy 1),52.11,57.14,24-18,42,3
Deserter's Disciple (Copy 2),52.1,63.16,12-7,19,1
Boneyard Desecrator (Copy 2),52.1,63.16,12-7,19,2
Entish Restoration (Copy 1),52.08,54.35,50-42,92,8
Madame Hydra (Copy 3),52.07,61.9,13-8,21,1
"Black Panther, Wakandan King (Copy 1)",52.07,61.9,13-8,21,1
"Green Goblin, Revenant (Copy 1)",52.06,54.26,51-43,94,7
Turncoat Kunoichi (Copy 1),52.05,56.52,26-20,46,3
Damage Control Crew (Copy 2),52.0,60.0,15-10,25,3
"Justice, Vance Astrovik (Copy 2)",52.0,53.14,93-82,175,13
S.H.I.E.L.D. Flying Car (Copy 1),51.99,52.56,185-167,352,22
Dance of the Tumbleweeds (Copy 1),51.98,53.29,81-71,152,11
"Théoden, King of Rohan (Copy 1)",51.98,54.55,42-35,77,5
"Misty Knight, Hero for Hire (Copy 2)",51.97,53.07,95-84,179,12
Realm of Koh (Copy 1),51.97,59.26,16-11,27,3
Decoy Ploy (Copy 3),51.95,55.56,30-24,54,8
Crime Novelist (Copy 1),51.95,55.56,30-24,54,3
"Zog, Triceraton Castaway (Copy 2)",51.94,58.62,17-12,29,3
Ostrich-Horse (Copy 2),51.94,58.62,17-12,29,2
Aven Interrupter (Copy 1),51.94,58.62,17-12,29,2
Murdock's Crusade (Copy 3),51.92,55.36,31-25,56,7
Auspicious Arrival (Copy 2),51.92,100.0,4-0,4,1
Avengers Disassembled (Copy 2),51.92,100.0,4-0,4,1
Badgermole (Copy 1),51.88,52.85,102-91,193,15
Mystical Tether (Copy 2),51.88,57.58,19-14,33,3
Private Eye (Copy 1),51.88,55.0,33-27,60,5
Raft Security Officer (Copy 4),51.85,75.0,6-2,8,1
Thinking Cap (Copy 1),51.85,52.94,90-80,170,10
Deduce (Copy 1),51.85,53.15,76-67,143,13
Case of the Stashed Skeleton (Copy 1),51.85,57.14,20-15,35,4
On the Job (Copy 1),51.84,52.91,91-81,172,12
Slice from the Shadows (Copy 1),51.84,53.1,77-68,145,11
"Savanti Romero, Time's Exile (Copy 1)",51.83,53.85,49-42,91,8
"Echo, Perceptive Prodigy (Copy 2)",51.82,53.33,64-56,120,7
Gleaming Bastion (Copy 2),51.82,56.76,21-16,37,4
Tainted Treats (Copy 1),51.82,53.06,78-69,147,11
Hero in Training (Copy 4),51.82,70.0,7-3,10,1
The Super Hero Civil War (Copy 1),51.81,52.45,150-136,286,18
Coerced to Kill (Copy 1),51.81,54.55,36-30,66,4
"Vraska, the Silencer (Copy 1)",51.8,56.41,22-17,39,2
Hellspur Brute (Copy 1),51.79,54.41,37-31,68,6
